cve_concatenada,cve_rha,nom_rha,probabilidad,t_prob
20457,10,Golfo Centro,46.98544267,Media
20458,10,Golfo Centro,5.227376038,Muy Baja
20459,4,Balsas,6.24,Muy Baja
20460,10,Golfo Centro,69.2396795,Alta
20461,4,Balsas,74.93,Alta
20462,4,Balsas,24.26,Baja
20463,10,Golfo Centro,62.88830659,Alta
20464,10,Golfo Centro,49.20460468,Media
20465,10,Golfo Centro,21.52177488,Baja
20466,5,Pacifico Sur,94.75304057,Muy Alta
20467,5,Pacifico Sur,50.32482676,Media
20468,10,Golfo Centro,65.45139238,Alta
20469,5,Pacifico Sur,63.38464916,Alta
20470,5,Pacifico Sur,27.44919063,Baja
20471,10,Golfo Centro,13.92799845,Muy Baja
20472,5,Pacifico Sur,6.787312386,Muy Baja
20473,10,Golfo Centro,11.09206926,Muy Baja
20474,5,Pacifico Sur,36.74308166,Baja
20475,5,Pacifico Sur,59.58239999,Media
20476,4,Balsas,15.47,Muy Baja
20477,5,Pacifico Sur,48.869965,Media
20478,10,Golfo Centro,20.36142433,Baja
20479,5,Pacifico Sur,31.49894492,Baja
20480,4,Balsas,99.31,Muy Alta
20481,5,Pacifico Sur,30.59471192,Baja
20482,5,Pacifico Sur,50.40316438,Media
20483,5,Pacifico Sur,48.48508104,Media
20484,4,Balsas,22.98,Baja
20485,5,Pacifico Sur,67.06768682,Alta
20486,4,Balsas,22.15,Baja
20487,5,Pacifico Sur,66.80226253,Alta
20488,10,Golfo Centro,3.572782504,Muy Baja
20489,5,Pacifico Sur,62.05289352,Alta
20490,10,Golfo Centro,78.03578707,Alta
20491,5,Pacifico Sur,23.15775026,Baja
20492,5,Pacifico Sur,58.48600349,Media
20493,5,Pacifico Sur,13.52179027,Muy Baja
20494,5,Pacifico Sur,79.83249022,Alta
20495,5,Pacifico Sur,88.22549285,Muy Alta
20496,10,Golfo Centro,13.59631075,Muy Baja
20497,5,Pacifico Sur,83.73667503,Muy Alta
20498,10,Golfo Centro,88.11824807,Muy Alta
20499,4,Balsas,11.43,Muy Baja
20500,5,Pacifico Sur,67.48066347,Alta
20501,4,Balsas,54.96,Media
20502,10,Golfo Centro,94.40603964,Muy Alta
20503,10,Golfo Centro,14.20536078,Muy Baja
20504,10,Golfo Centro,10.93483664,Muy Baja
20505,5,Pacifico Sur,56.7458536,Media
20506,5,Pacifico Sur,42.0925306,Media
20507,5,Pacifico Sur,65.30006051,Alta
20508,5,Pacifico Sur,19.8750267,Muy Baja
20509,5,Pacifico Sur,67.79921661,Alta
20510,5,Pacifico Sur,51.8109522,Media
20511,5,Pacifico Sur,65.34995439,Alta
20512,5,Pacifico Sur,49.49936308,Media
20513,10,Golfo Centro,34.14543227,Baja
20514,10,Golfo Centro,17.89303741,Muy Baja
20515,5,Pacifico Sur,20.48736867,Baja
20516,5,Pacifico Sur,29.23859851,Baja
20517,10,Golfo Centro,98.98727989,Muy Alta
20518,5,Pacifico Sur,27.06439077,Baja
20519,5,Pacifico Sur,76.17799311,Alta
20520,4,Balsas,21.19,Baja
20521,4,Balsas,31.43,Baja
20522,10,Golfo Centro,70.32524088,Alta
20523,5,Pacifico Sur,45.34531275,Media
20524,4,Balsas,23.0,Baja
20525,5,Pacifico Sur,45.20248193,Media
20526,5,Pacifico Sur,23.19851636,Baja
20527,10,Golfo Centro,51.8435837,Media
20528,4,Balsas,61.58,Alta
20529,4,Balsas,65.57,Alta
20530,5,Pacifico Sur,82.6661328,Muy Alta
20531,5,Pacifico Sur,31.1143814,Baja
20532,4,Balsas,89.56,Muy Alta
20533,5,Pacifico Sur,62.74741811,Alta
20534,5,Pacifico Sur,70.1863666,Alta
20535,5,Pacifico Sur,55.43735168,Media
20536,4,Balsas,2.29,Muy Baja
20537,4,Balsas,36.99,Baja
20538,5,Pacifico Sur,33.30131046,Baja
20539,5,Pacifico Sur,57.10332862,Media
20540,4,Balsas,16.66,Muy Baja
20541,10,Golfo Centro,22.52882894,Baja
20542,5,Pacifico Sur,20.45030326,Baja
20543,5,Pacifico Sur,35.04167194,Baja
20544,10,Golfo Centro,4.747707192,Muy Baja
20545,10,Golfo Centro,45.11686404,Media
20546,5,Pacifico Sur,95.83255039,Muy Alta
20547,4,Balsas,41.1,Media
20548,10,Golfo Centro,91.68308619,Muy Alta
20549,4,Balsas,34.36,Baja
20550,5,Pacifico Sur,59.50795577,Media
20551,5,Pacifico Sur,69.03349929,Alta
20552,10,Golfo Centro,43.84705049,Media
20553,5,Pacifico Sur,88.99637441,Muy Alta
20554,10,Golfo Centro,28.38683228,Baja
20555,5,Pacifico Sur,92.065561,Muy Alta
20556,4,Balsas,7.0,Muy Baja
20557,5,Pacifico Sur,47.32989986,Media
20558,10,Golfo Centro,8.92941031,Muy Baja
20559,10,Golfo Centro,37.66952211,Baja
20560,5,Pacifico Sur,77.23225814,Alta
20561,5,Pacifico Sur,92.78348953,Muy Alta
20562,5,Pacifico Sur,36.55625659,Baja
20563,5,Pacifico Sur,99.04414239,Muy Alta
20564,5,Pacifico Sur,9.142106544,Muy Baja
20565,5,Pacifico Sur,97.80197262,Muy Alta
20566,5,Pacifico Sur,57.99342457,Media
20567,4,Balsas,84.58,Muy Alta
20568,4,Balsas,38.78,Baja
20569,5,Pacifico Sur,44.83332195,Media
20570,5,Pacifico Sur,89.52358609,Muy Alta
21001,4,Balsas,53.1,Media
21002,10,Golfo Centro,56.38825273,Media
21003,4,Balsas,41.11,Media
21004,4,Balsas,63.05,Alta
21005,4,Balsas,97.4,Muy Alta
21006,10,Golfo Centro,55.77913254,Media
21007,4,Balsas,45.6,Media
21008,10,Golfo Centro,43.85252818,Media
21009,4,Balsas,29.63,Baja
21010,10,Golfo Centro,91.62745566,Muy Alta
21011,4,Balsas,28.43,Baja
21012,4,Balsas,20.68,Baja
21013,10,Golfo Centro,32.93959254,Baja
21014,10,Golfo Centro,45.18597141,Media
21015,4,Balsas,24.86,Baja
21016,10,Golfo Centro,47.87753857,Media
21017,10,Golfo Centro,34.38518182,Baja
21018,4,Balsas,42.05,Media
21019,4,Balsas,6.8,Muy Baja
21020,4,Balsas,24.45,Baja
21021,4,Balsas,35.95,Baja
21022,4,Balsas,61.77,Alta
21023,10,Golfo Centro,47.90231143,Media
21024,4,Balsas,42.55,Media
21025,10,Golfo Centro,45.76575316,Media
21026,4,Balsas,55.11,Media
21027,10,Golfo Centro,71.87878053,Alta
21028,10,Golfo Centro,38.92981003,Baja
21029,10,Golfo Centro,24.14624817,Baja
21030,10,Golfo Centro,19.0250985,Muy Baja
21031,4,Balsas,45.16,Media
21032,4,Balsas,21.73,Baja
21033,4,Balsas,60.43,Alta
21034,4,Balsas,29.04,Baja
21035,10,Golfo Centro,29.5233888,Baja
21036,10,Golfo Centro,85.26563691,Muy Alta
21037,4,Balsas,18.23,Muy Baja
21038,4,Balsas,81.9,Muy Alta
21039,10,Golfo Centro,33.97189601,Baja
21040,4,Balsas,34.71,Baja
21041,4,Balsas,10.88,Muy Baja
21042,4,Balsas,9.3,Muy Baja
21043,10,Golfo Centro,50.28489662,Media
21044,4,Balsas,8.5,Muy Baja
21045,4,Balsas,12.38,Muy Baja
21046,10,Golfo Centro,60.62553539,Alta
21047,4,Balsas,50.05,Media
21048,4,Balsas,50.91,Media
21049,10,Golfo Centro,69.21102223,Alta
21050,10,Golfo Centro,80.86501158,Muy Alta
21051,4,Balsas,49.96,Media
21052,4,Balsas,33.09,Baja
21053,10,Golfo Centro,52.47838889,Media
21054,10,Golfo Centro,57.5604928,Media
21055,4,Balsas,36.53,Baja
21056,4,Balsas,12.85,Muy Baja
21057,10,Golfo Centro,42.29450424,Media
21058,10,Golfo Centro,39.49296438,Baja
21059,4,Balsas,60.14,Alta
21060,4,Balsas,72.57,Alta
21061,10,Golfo Centro,94.51996505,Muy Alta
21062,4,Balsas,56.52,Media
21063,10,Golfo Centro,47.39801074,Media
21064,10,Golfo Centro,51.54773351,Media
21065,4,Balsas,50.69,Media
21066,4,Balsas,55.19,Media
21067,4,Balsas,16.69,Muy Baja
21068,10,Golfo Centro,63.20750488,Alta
21069,4,Balsas,62.04,Alta
21070,4,Balsas,57.17,Media
21071,10,Golfo Centro,20.81452283,Baja
21072,10,Golfo Centro,73.8992242,Alta
21073,4,Balsas,59.37,Media
21074,4,Balsas,45.76,Media
21075,10,Golfo Centro,47.97377934,Media
21076,10,Golfo Centro,25.7332274,Baja
21077,10,Golfo Centro,92.5398679,Muy Alta
21078,10,Golfo Centro,80.33756388,Muy Alta
21079,4,Balsas,57.37,Media
21080,10,Golfo Centro,67.24169027,Alta
21081,4,Balsas,82.05,Muy Alta
21082,4,Balsas,25.07,Baja
21083,10,Golfo Centro,56.92438152,Media
21084,10,Golfo Centro,89.05241895,Muy Alta
21085,4,Balsas,28.7,Baja
21086,10,Golfo Centro,50.37720961,Media
21087,4,Balsas,76.57,Alta
21088,10,Golfo Centro,57.64200653,Media
21089,10,Golfo Centro,64.6282515,Alta
21090,4,Balsas,52.98,Media
21091,10,Golfo Centro,19.00647942,Muy Baja
21092,4,Balsas,65.1,Alta
21093,4,Balsas,43.74,Media
21094,4,Balsas,18.71,Muy Baja
21095,4,Balsas,6.61,Muy Baja
21096,4,Balsas,33.65,Baja
21097,4,Balsas,40.64,Media
21098,4,Balsas,42.76,Media
21099,10,Golfo Centro,73.00418408,Alta
21100,10,Golfo Centro,54.140232,Media
21101,10,Golfo Centro,56.45892774,Media
21102,4,Balsas,49.7,Media
21103,10,Golfo Centro,75.70656546,Alta
21104,4,Balsas,46.29,Media
